scenario,R_hat,I_at_s1,C_at_s1
Constrained (linear C),0.797760999671559,202.22433052099865,2741.9229442569194
Unbalanced release (linear C),0.7330742414624482,225.61914741184415,2786.0923420691383
Role zero (linear C),0.7535365209736737,204.45703773091395,2325.956527052566
